n:64 mse_avg:98.09 mse_y:143.86 mse_u:6.04 mse_v:7.08 psnr_avg:28.21 psnr_y:26.55 psnr_u:40.32 psnr_v:39.63 
n:65 mse_avg:130.81 mse_y:191.79 mse_u:8.22 mse_v:9.50 psnr_avg:26.96 psnr_y:25.30 psnr_u:38.98 psnr_v:38.35 
n:66 mse_avg:171.23 mse_y:250.82 mse_u:11.43 mse_v:12.69 psnr_avg:25.79 psnr_y:24.14 psnr_u:37.55 psnr_v:37.10 
n:67 mse_avg:214.60 mse_y:314.20 mse_u:14.83 mse_v:15.95 psnr_avg:24.81 psnr_y:23.16 psnr_u:36.42 psnr_v:36.10 
n:68 mse_avg:232.36 mse_y:339.78 mse_u:16.95 mse_v:18.08 psnr_avg:24.47 psnr_y:22.82 psnr_u:35.84 psnr_v:35.56 
n:69 mse_avg:240.23 mse_y:350.90 mse_u:18.43 mse_v:19.33 psnr_avg:24.32 psnr_y:22.68 psnr_u:35.47 psnr_v:35.27 
n:70 mse_avg:240.17 mse_y:350.81 mse_u:18.43 mse_v:19.33 psnr_avg:24.33 psnr_y:22.68 psnr_u:35.48 psnr_v:35.27 
n:71 mse_avg:251.42 mse_y:367.07 mse_u:19.71 mse_v:20.50 psnr_avg:24.13 psnr_y:22.48 psnr_u:35.18 psnr_v:35.01 
n:72 mse_avg:261.17 mse_y:381.51 mse_u:20.35 mse_v:20.64 psnr_avg:23.96 psnr_y:22.32 psnr_u:35.04 psnr_v:34.98 
n:73 mse_avg:265.02 mse_y:387.35 mse_u:20.34 mse_v:20.38 psnr_avg:23.90 psnr_y:22.25 psnr_u:35.05 psnr_v:35.04 
n:74 mse_avg:269.28 mse_y:393.58 mse_u:20.82 mse_v:20.52 psnr_avg:23.83 psnr_y:22.18 psnr_u:34.95 psnr_v:35.01 
n:75 mse_avg:256.03 mse_y:374.15 mse_u:19.95 mse_v:19.63 psnr_avg:24.05 psnr_y:22.40 psnr_u:35.13 psnr_v:35.20 
n:76 mse_avg:234.43 mse_y:342.31 mse_u:18.92 mse_v:18.43 psnr_avg:24.43 psnr_y:22.79 psnr_u:35.36 psnr_v:35.47 
n:77 mse_avg:230.48 mse_y:336.46 mse_u:18.73 mse_v:18.33 psnr_avg:24.50 psnr_y:22.86 psnr_u:35.41 psnr_v:35.50 
n:78 mse_avg:193.82 mse_y:282.73 mse_u:16.14 mse_v:15.87 psnr_avg:25.26 psnr_y:23.62 psnr_u:36.05 psnr_v:36.13 
n:79 mse_avg:152.66 mse_y:222.53 mse_u:13.07 mse_v:12.76 psnr_avg:26.29 psnr_y:24.66 psnr_u:36.97 psnr_v:37.07 
n:80 mse_avg:142.80 mse_y:208.33 mse_u:11.61 mse_v:11.83 psnr_avg:26.58 psnr_y:24.94 psnr_u:37.48 psnr_v:37.40 
n:81 mse_avg:76.73 mse_y:111.84 mse_u:6.32 mse_v:6.72 psnr_avg:29.28 psnr_y:27.64 psnr_u:40.12 psnr_v:39.86 
n:82 mse_avg:52.36 mse_y:75.92 mse_u:5.13 mse_v:5.33 psnr_avg:30.94 psnr_y:29.33 psnr_u:41.03 psnr_v:40.86 
n:83 mse_avg:61.95 mse_y:89.72 mse_u:6.49 mse_v:6.36 psnr_avg:30.21 psnr_y:28.60 psnr_u:40.01 psnr_v:40.10 
n:84 mse_avg:78.06 mse_y:113.29 mse_u:8.02 mse_v:7.21 psnr_avg:29.21 psnr_y:27.59 psnr_u:39.09 psnr_v:39.55 
n:85 mse_avg:118.67 mse_y:172.27 mse_u:11.81 mse_v:11.13 psnr_avg:27.39 psnr_y:25.77 psnr_u:37.41 psnr_v:37.66 
n:86 mse_avg:142.09 mse_y:206.24 mse_u:14.00 mse_v:13.55 psnr_avg:26.61 psnr_y:24.99 psnr_u:36.67 psnr_v:36.81 
n:87 mse_avg:178.26 mse_y:259.37 mse_u:16.23 mse_v:15.82 psnr_avg:25.62 psnr_y:23.99 psnr_u:36.03 psnr_v:36.14 
n:88 mse_avg:184.92 mse_y:269.17 mse_u:16.96 mse_v:15.88 psnr_avg:25.46 psnr_y:23.83 psnr_u:35.84 psnr_v:36.12 
n:89 mse_avg:211.17 mse_y:307.73 mse_u:18.96 mse_v:17.15 psnr_avg:24.88 psnr_y:23.25 psnr_u:35.35 psnr_v:35.79 
n:90 mse_avg:232.68 mse_y:339.21 mse_u:20.27 mse_v:18.99 psnr_avg:24.46 psnr_y:22.83 psnr_u:35.06 psnr_v:35.35 
n:91 mse_avg:255.13 mse_y:372.09 mse_u:21.63 mse_v:20.77 psnr_avg:24.06 psnr_y:22.42 psnr_u:34.78 psnr_v:34.96 
n:92 mse_avg:263.72 mse_y:384.80 mse_u:21.89 mse_v:21.23 psnr_avg:23.92 psnr_y:22.28 psnr_u:34.73 psnr_v:34.86 
